Inventory MHE,Inventory container,Inventory index,Inventory max index,Item code,Item code owner,item_lot_number,item_expiration_date,Item sort key,Inventory quantity,Inventory damaged quantity,Inventory expired quantity,status
RR ASRS 001,ASRSX005060,1,1,4902031022425,1,,,,440,0,0,Initial
RR ASRS 001,ASRSX005123,5,8,4902506172921,3,,,,11,0,0,Initial
RR ASRS 001,ASRSX009886,4,8,4007817524206,1,,,,24,0,0,Initial
RR ASRS 001,ASRSX005123,3,8,4901681502547,3,,,,8,0,0,Initial
RR ASRS 001,ASRSX006168,4,4,4902805825085,1,,,,19,0,0,Initial
RR ASRS 001,ASRSX007803,2,8,4901991706253,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX006474,6,8,4902506381934,3,,,,176,0,0,Initial
RR ASRS 001,ASRSX005566,1,8,4901991903874,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX003908,1,8,4901681143498,3,,,,8,0,0,Initial
RR ASRS 001,ASRSX009356,3,8,4902778241271,3,,,,70,0,0,Initial
RR ASRS 001,ASRSX006451,7,8,4902505290558,1,,,,7,0,0,Initial
RR ASRS 001,ASRSX004327,2,8,4548623782690,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX009100,6,8,4902505451218,3,,,,31,0,0,Initial
RR ASRS 001,ASRSX010320,7,8,4971910274682,3,,,,9,0,0,Initial
RR ASRS 001,ASRSX010488,2,8,4971910226094,3,,,,30,0,0,Initial
RR ASRS 001,ASRSX006521,1,4,4582328600101,3,,,,6,0,0,Initial
RR ASRS 001,ASRSX011654,2,8,4977564669515,3,,,,15,0,0,Initial
RR ASRS 001,ASRSX007803,1,8,4901991646078,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX007528,1,8,4901681171330,1,,,,12,0,0,Initial
RR ASRS 001,ASRSX009711,4,8,4902787028931,3,,,,19,0,0,Initial
RR ASRS 001,ASRSX009305,4,8,4955414927183,1,,,,2,0,0,Initial
RR ASRS 001,ASRSX003649,6,8,4902506175458,1,,,,25,0,0,Initial
RR ASRS 001,ASRSX006474,5,8,4902506381910,3,,,,220,0,0,Initial
RR ASRS 001,ASRSX009602,4,8,4902778092484,3,,,,7,0,0,Initial
RR ASRS 001,ASRSX005467,1,8,4974052759024,1,,,,3,0,0,Initial
RR ASRS 001,ASRSX009327,4,8,4511338002926,3,,,,2,0,0,Initial
RR ASRS 001,ASRSX003245,2,2,4901681731862,3,,,,39,0,0,Initial
RR ASRS 001,ASRSX007528,4,8,4901681104345,1,,,,16,0,0,Initial
RR ASRS 001,ASRSX009627,2,8,4901681576036,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX011771,2,8,4902506340894,3,,,,16,0,0,Initial
RR ASRS 001,ASRSX011771,4,8,4901681171415,3,,,,5,0,0,Initial
RR ASRS 001,ASRSX009627,4,8,4901681420230,3,,,,93,0,0,Initial
RR ASRS 001,ASRSX005123,8,8,4901480380308,3,,,,4,0,0,Initial
RR ASRS 001,ASRSX009451,4,8,4902778241455,3,,,,70,0,0,Initial
RR ASRS 001,ASRSX003659,1,4,4902870746926,1,,,,20,0,0,Initial
RR ASRS 001,ASRSX004072,1,4,4902870832520,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX011809,1,8,4971910313770,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX009502,2,8,4901991635980,3,,,,52,0,0,Initial
RR ASRS 001,ASRSX009115,3,8,4902505663383,3,,,,8,0,0,Initial
RR ASRS 001,ASRSX006149,3,4,4974052323041,3,,,,23,0,0,Initial
RR ASRS 001,ASRSX009100,3,8,4901681881017,3,,,,10,0,0,Initial
RR ASRS 001,ASRSX003824,2,8,4902562276939,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX006861,3,4,4979093310029,3,,,,4,0,0,Initial
RR ASRS 001,ASRSX006861,4,4,4963095253750,3,,,,26,0,0,Initial
RR ASRS 001,ASRSX007079,4,4,4963095907295,3,,,,5,0,0,Initial
RR ASRS 001,ASRSX005182,1,4,4963095236708,3,,,,25,0,0,Initial
RR ASRS 001,ASRSX010150,8,8,4971910259450,3,,,,9,0,0,Initial
RR ASRS 001,ASRSX004134,8,8,4901991647242,3,,,,95,0,0,Initial
RR ASRS 001,ASRSX009686,7,8,4902850021135,3,,,,10,0,0,Initial
RR ASRS 001,ASRSX009776,1,8,4990212338205,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX006047,1,2,4902562417271,3,,,,36,0,0,Initial
RR ASRS 001,ASRSX005265,2,2,4971660010790,1,,,,6,0,0,Initial
RR ASRS 001,ASRSX009776,3,8,4990212006890,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX009081,1,8,4977114112997,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX007540,1,8,4971910186886,3,,,,47,0,0,Initial
RR ASRS 001,ASRSX003659,4,4,4948299528286,1,,,,6,0,0,Initial
RR ASRS 001,ASRSX010443,2,2,4516085307447,3,,,,15,0,0,Initial
RR ASRS 001,ASRSX007540,3,8,4971910339169,3,,,,4,0,0,Initial
RR ASRS 001,ASRSX006524,2,4,4902562433394,3,,,,2,0,0,Initial
RR ASRS 001,ASRSX009501,4,8,4902778499405,1,,,,50,0,0,Initial
